idioma,traduccion
I am reading a magazine.,Leo una revista.
I am sorry to hear that.,Lamento oír eso.
I am trying to help him.,Estoy tratando de ayudarlo.
I am writing an article.,Estoy escribiendo un artículo.
I answered the question.,Yo respondí a la pregunta.
I appreciate the advice.,Aprecio el consejo.
I appreciate the advice.,Aprecio los consejos.
I arrived two weeks ago.,Hace dos semanas que llegué.
I asked him for a favor.,Le pedí un favor.
I asked him point-blank.,Le pregunté sin andarme con rodeos.
I asked him to make tea.,Le pedí que hiciera té.
I aspire to be like Tom.,Yo quiero ser como Tom.
I beg you to forgive me.,Le ruego que me perdone.
I beg you to forgive me.,Te ruego que me perdones.
I beg you to forgive me.,Os ruego que me perdonéis.
I believe in friendship.,Creo en la amistad.
I believe it to be true.,Creo que es verdad.
I believe it's finished.,Creo que se ha terminado.
I believe it's finished.,Creo que se ha acabado.
I believe it's finished.,Creo que ha concluido.
I believe you're honest.,Creo que usted es honesto.
I bet you can't do this.,Apuesto a que no puedes hacer esto.
I bought a Nintendo 3DS.,Me compré un Nintendo 3DS.
I bought a lot of books.,Compré un montón de libros.
I bought a lot of books.,Compré muchos libros.
I bought all the apples.,Compré todas las manzanas.
I bought him a magazine.,Le compré una revista a él.
I bought him a magazine.,Le compré una revista.
I bought this yesterday.,Lo compré ayer.
I bought this yesterday.,Ayer compré esto.
I brought you a present.,Te traje un regalo.
I brought you red roses.,Te traigo rosas rojas.
I brought you red roses.,Le traigo rosas rojas.
I brought you some food.,Te traje comida.
I call her up every day.,La llamo todos los días.
I can do this all night.,Puedo hacer esto durante toda la noche.
I can do this on my own.,Lo puedo hacer solo.
"I can ride a horse, too.",Yo también sé montar a caballo.
I can see what you mean.,Entiendo lo que quieres decir.
I can see what you mean.,Veo qué quieres decir.
I can touch the ceiling.,Puedo tocar el cielorraso.
I can't believe my ears.,No puedo creer lo que oigo.
I can't believe my eyes.,No puedo creer lo que ven mis ojos.
I can't do it by myself.,No puedo hacerlo yo solo.
I can't do this anymore.,Ya no puedo hacer esto.
I can't even look at it.,Ni siquiera puedo mirarlo.
I can't find Tom either.,No puedo encontrar a Tom tampoco.
I can't find my glasses.,No encuentro mis lentes.
I can't get used to Tom.,No puedo acostumbrarme a Tom.
I can't give up smoking.,No puedo dejar de fumar.
I can't help doing that.,No puedo evitar hacer eso.
I can't help loving her.,No puedo evitar quererla.
I can't just do nothing.,No puedo sencillamente hacer nada.
I can't keep doing this.,No puedo seguir haciendo esto.
I can't leave my family.,No puedo abandonar a mi familia.
I can't let you do this.,No puedo dejar que hagas esto.
I can't live without TV.,No puedo vivir sin tele.
I can't live without TV.,No puedo vivir sin televisión.
I can't put up with him.,No lo aguanto.
I can't stand hospitals.,No soporto los hospitales.
I can't stand the noise.,No puedo soportar el ruido.
I can't stand this cold.,No soporto este frío.
I can't stand this heat.,No aguanto este calor.
I can't stand this pain.,No aguanto este dolor.
I can't stay for dinner.,No me puedo quedar a cenar.
I can't tell them apart.,No sé diferenciarlos.
I can't tell what it is.,No puedo decir lo que es.
I can't think otherwise.,No puedo pensar en otra cosa.
I can't untie this knot.,No puedo deshacer este nudo.
I can't untie this knot.,No puedo desatar este nudo.
I can't use a fork well.,No sé usar bien el tenedor.
I can't wait any longer.,No puedo esperar más tiempo.
I can’t do any better.,No puedo hacer nada mejor.
I confess I'm miserable.,Confieso que soy miserable.
I consider you a friend.,Te considero como un amigo.
I cook almost every day.,Cocino casi todos los días.
I could hardly hear him.,Apenas podía oírlo.
I could hear everything.,Pude oír todo.
I couldn't find anybody.,No pude encontrar a nadie.
I couldn't get to sleep.,No logré dormir.
I couldn't speak French.,No sabía hablar francés.
I danced all night long.,Bailé toda la noche.
"I did do that, didn't I?","Yo sí hice eso, ¿no es cierto?"
I did so at his request.,Yo lo hice a petición suya.
I did something similar.,Hice algo similar.
I didn't catch his name.,No escuché su nombre.
I didn't do my homework.,No hice mi tarea.
I didn't do my homework.,No hice mis deberes.
I didn't even know that.,Yo ni sabía.
I didn't give it to you.,Yo no te lo di.
I didn't hang up on you.,Yo no te colgué.
I didn't hear Tom leave.,No oí a Tom irse.
I didn't know that song.,No conocía esa canción.
I didn't learn anything.,No aprendí nada.
I didn't make it myself.,No lo hice yo misma.
I didn't quite hear you.,No te he oído muy bien.
I didn't speak with Tom.,No hablé con Tom.
I didn't touch anything.,Yo no toqué nada.
I didn't write anything.,Yo no escribí nada.
I do not have any money.,No tengo un duro.
I do not have any money.,No tengo dinero.
I do not have any money.,No tengo un centimo.
I do not have any money.,No tengo un chavo.
I do not have any money.,No tengo un mango.
I do not have much time.,No tengo mucho tiempo.
I do not know this lady.,Yo no conozco a esta señora.
I do not like the house.,La casa no me gusta.
I do not like this song.,No me gusta esta canción.
I do not play the piano.,Yo no toco el piano.
I do not play the piano.,No toco el piano.
